,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,988.3669,175.44109,361.91776,247.36005,108.59085,116.81109,755.5121,415.54663,459.68686,439.5641,2989.5808,438.38538,241.52847,230.34866,1798.9353,92.196686,68.02406,2282.3386,345.47638,67.87378,76.5795,609.8738,2704.8977,596.1111,294.66406,132.1786,343.93466,0
1,930.0564,1790.4213,1249.7902,1067.5514,1505.532,467.0539,902.11035,1108.9097,540.39185,537.0299,3630.1987,487.32382,1025.3071,597.03033,318.11057,329.53903,367.27036,679.80334,603.086,578.0877,1551.1116,926.32623,2544.8142,532.6037,1373.9475,699.61945,483.91727,0
2,276.43964,27.293333,84.35953,973.1193,240.20035,178.89664,52.47563,50.11069,25.761166,25.612968,2100.6638,176.15945,59.08396,38.848106,83.86012,91.390274,75.02689,20.235126,12.696131,40.95445,31.315317,84.259315,187.68967,86.561295,80.48825,62.22914,175.64241,0
3,455.53552,4734.2974,3670.4202,5067.18,561.35376,640.76086,6316.971,7216.6377,20994.768,53184.074,97814.43,72632.74,121460.43,89402.99,38145.344,12844.923,16613.143,494.41287,512.0515,43885.613,15545.699,9931.891,1582.0459,935.8607,2420.8142,1483.1285,1529.4883,0
4,10415.064,4834.4683,4052.2073,13373.046,3938.6384,2434.5642,11002.358,5045.53,3618.6785,3582.933,2775.0186,1039.721,1467.277,1352.5574,2194.0706,4951.7456,1859.4568,3193.367,8412.286,6973.692,2926.3674,3462.8022,5241.7617,2840.1875,4305.864,2508.8135,4041.362,0
5,651.12775,474.3353,741.31946,1147.8799,979.6372,511.1386,263.8971,284.16772,214.86168,248.95116,4341.7173,715.72565,516.43634,698.27637,221.8376,155.73517,441.64767,440.82306,2384.2495,794.1109,268.75354,372.6087,3224.2734,346.7821,221.95763,71.39671,74.04716,0
6,259.65463,162.92813,136.15466,158.30908,283.7486,620.7146,491.10837,395.3752,388.86273,358.10355,2045.915,375.70898,282.24216,431.74017,361.25922,361.7493,784.287,290.5805,230.34853,182.08493,139.26686,168.52777,2260.4194,267.74042,189.40091,209.4932,339.94836,0
7,3713.2935,5211.1216,6245.296,6812.551,6588.549,7894.3833,5529.88,7524.463,5698.0,4034.8345,4006.9775,2269.9307,2575.4028,2849.7766,3588.8096,2724.8062,3380.9497,2350.0046,4486.118,2567.598,3798.5068,1817.0803,2274.306,1919.9177,1521.744,1358.0408,1108.9512,0
8,2862.6636,4275.6987,4055.5054,2420.654,2958.962,2594.3867,2097.5696,2489.7297,2357.2578,2465.4731,2991.038,2457.0781,2070.1694,2416.2017,8217.298,6297.716,6092.2505,2414.3176,2627.9316,4563.252,5999.586,6185.209,5040.111,5209.76,9029.35,10073.252,5118.321,0
9,351.70245,465.53223,388.22217,621.1059,630.3283,456.93567,658.0313,1077.7866,691.41235,760.79553,3047.0957,477.19296,576.69617,510.49634,188.75511,246.85504,643.2933,497.91522,441.50742,719.16876,475.04013,369.0449,3019.6492,347.2014,279.67697,481.97464,316.46008,0
10,643.83954,482.54633,868.73145,675.6645,978.2991,1642.9343,881.9232,700.7992,2238.4365,762.60223,2539.3843,3669.5374,1416.1602,901.75354,3949.7678,984.7529,848.7526,3674.192,882.0871,958.395,1937.6011,1408.7369,2816.3496,4064.9253,1678.3456,1478.7194,4242.577,0
11,3336.2273,1108.5862,1202.3608,3347.0798,1046.8281,1430.2888,4394.6772,1185.7615,1511.7852,6006.395,2672.4277,1536.3788,6874.6177,1491.6787,1549.3127,7490.31,1595.44,1708.8379,8982.124,2316.2393,1645.7356,7022.5156,3041.002,2499.4263,6047.6387,1580.0002,1245.2104,0
12,1696.181,951.9705,781.2518,742.51874,656.37024,658.34424,718.3566,2516.3564,804.90967,832.02563,1646.5005,783.8779,691.10016,601.0204,719.8211,776.4129,2744.528,1072.6628,1212.9728,801.5171,717.4184,815.8602,1776.152,615.7629,732.3306,2862.544,1151.7218,0
13,531.131,321.16727,120.80159,109.04117,121.43018,387.6196,280.60846,577.479,457.49042,415.95276,1648.4384,5208.0566,2072.6611,762.15063,1150.0198,660.8657,1246.5315,930.3199,799.9356,1871.8184,811.7344,1203.3204,2031.8126,559.5081,463.2276,760.03613,822.9496,0
14,713.0953,635.6737,517.2165,585.71277,694.9924,660.0664,729.6972,600.731,576.1349,592.6922,1525.0479,541.9135,597.28503,652.469,557.19745,514.4211,524.63214,485.67264,515.09436,366.65286,348.30136,414.552,1172.6462,56.56861,39.731964,18.884632,23.18684,0
