,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Class
0,974.5286,1021.10583,733.9467,323.47324,147.78178,133.92369,225.4314,15.949368,1.1298232,7.9495583,4201.188,387.91818,246.70442,41.2352,39.291798,53.481785,50.040127,69.99955,2793.6543,1038.327,946.93353,1234.839,2852.7375,1529.4309,1366.3126,1377.7064,2545.589,0
1,1940.3961,2075.6128,2021.9432,1901.088,2507.0962,4273.011,4342.3267,3514.2527,3018.1958,5977.498,4222.8994,3917.2954,3792.6982,2219.5757,2950.6646,2977.8022,11844.594,8696.475,5187.99,1303.0308,1182.2451,1702.8861,2679.834,1407.5487,1403.4031,617.9451,702.4869,0
2,604.5585,300.52344,597.54175,524.2876,1215.98,964.5733,930.4861,436.89615,1920.4316,1347.8933,5246.448,646.61145,1931.585,1984.2683,3386.3782,1819.4158,1858.5887,1800.1333,3557.938,858.49945,1063.8923,1054.6918,3402.4333,995.2319,735.8922,460.46265,1363.644,0
3,252.45657,244.78082,229.16447,450.02448,364.9199,292.59717,621.0071,301.91266,343.52795,642.88275,1623.8159,191.58684,370.23938,161.01558,154.22662,402.19296,179.70534,171.08333,483.99258,271.06454,158.70012,544.0846,1415.0543,146.40007,509.0828,137.41003,174.1734,0
4,957.9982,651.1971,995.2226,555.50214,796.565,531.5547,1988.8164,322.2847,318.99347,1040.0103,1565.4943,808.80225,513.0567,2688.6138,544.62616,820.6455,1062.7273,2776.8462,2962.161,1491.4037,2416.9167,3670.2068,2937.8635,4111.114,7658.8765,6456.87,7171.8477,0
5,395.70477,173.07913,366.21478,413.52295,644.01044,370.01898,291.02936,917.32275,318.17102,268.01926,2891.5579,141.08923,142.90927,229.7395,179.66275,399.88388,779.1958,270.02396,327.79297,88.181946,127.996994,113.099846,2932.0957,92.88393,65.88163,331.57062,219.747,0
6,4201.843,95.10507,77.51725,4161.456,267.23108,205.51572,116.15503,110.58203,4207.1963,1838.6991,4525.082,113.86023,106.26119,183.13432,68.513954,1738.6516,46.36728,78.15811,1384.5868,599.5768,930.698,169.11761,1268.6731,131.64423,130.98663,999.73083,49.284218,0
7,495.52368,1069.2179,370.16025,2035.7451,598.7098,496.82538,404.0211,412.9351,410.67307,472.79294,1715.1543,264.1819,239.22769,272.0967,357.4451,326.19604,438.97083,334.54657,283.23828,353.9569,209.78792,245.87947,1521.7814,276.96933,284.08267,262.3484,352.94794,0
8,1429.0212,3014.785,2996.0823,10957.961,3241.5283,2949.894,10509.349,2908.9297,2673.056,10725.297,3532.212,2896.6108,11220.939,3269.971,3511.475,10780.4795,4234.2817,3679.2476,13350.041,4340.245,4175.0747,15956.472,5312.881,6175.764,17258.057,4602.2017,3527.1672,0
9,2045.6212,1361.6127,3744.9731,3123.0815,1373.0264,1113.7075,2173.5227,3119.9766,1362.8115,2287.866,3704.635,3114.2695,918.5777,2098.1794,1133.5679,3287.5483,1970.2106,8198.162,4517.9556,4494.5825,1684.7618,5128.4062,10778.229,2641.2764,6934.4946,2198.7534,3680.854,0
